,index
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
16,18
17,21
18,24
19,27
20,31
21,46
22,51
23,63
24,71
25,77
26,95
27,106
28,111
29,133
30,138
31,148
32,159
33,163
34,170
35,181
36,182
37,187
38,189
39,194
40,204
41,214
42,220
43,221
44,226
45,237
46,240
47,260
48,286
49,288
50,300
51,320
52,321
53,325
54,332
55,340
56,342
57,348
58,356
59,381
60,420
61,425
62,430
63,431
64,445
65,450
66,464
67,495
68,516
69,529
70,549
71,592
72,605
73,612
74,617
75,634
76,645
77,659
78,675
79,682
80,687
81,694
82,698
83,706
84,708
85,721
86,736
87,755
88,760
89,763
90,766
91,773
92,775
93,779
94,805
95,822
96,858
97,879
98,880
99,891
100,898
101,899
102,912
103,918
104,921
105,958
106,971
107,993
108,997
109,1021
110,1034
111,1050
112,1074
113,1075
114,1080
115,1081
116,1109
117,1110
118,1126
119,1136
120,1137
121,1145
122,1157
123,1163
124,1171
125,1174
126,1177
127,1179
128,1183
129,1193
130,1205
131,1211
132,1223
133,1241
134,1243
135,1244
136,1251
137,1278
138,1289
139,1297
140,1309
141,1314
142,1317
143,1326
144,1331
145,1336
146,1363
147,1368
148,1370
149,1382
150,1383
151,1386
152,1387
153,1391
154,1408
155,1415
156,1422
157,1423
158,1431
159,1455
160,1463
161,1477
162,1498
163,1501
164,1527
165,1532
166,1535
167,1558
168,1565
169,1567
170,1571
171,1583
172,1586
173,1590
174,1595
175,1597
176,1603
177,1646
178,1655
179,1669
180,1674
181,1681
182,1687
183,1693
184,1698
185,1700
186,1703
187,1707
188,1710
189,1714
190,1726
191,1728
192,1739
193,1742
194,1747
195,1753
196,1760
197,1762
198,1766
199,1767
200,1771
201,1776
202,1785
203,1789
204,1795
205,1798
206,1812
207,1821
208,1824
209,1827
210,1832
211,1843
212,1862
213,1880
214,1891
215,1908
216,1915
217,1920
218,1921
219,1928
220,1931
221,1935
222,1941
223,1943
224,1945
225,1947
226,1950
227,1965
228,1979
229,1980
230,1984
231,1993
232,1997
233,2020
234,2045
235,2051
236,2059
237,2090
238,2108
239,2112
240,2117
241,2122
242,2123
243,2131
244,2132
245,2133
246,2142
247,2161
248,2162
249,2174
250,2184
251,2196
252,2199
253,2216
254,2228
255,2238
256,2254
257,2256
258,2259
259,2279
260,2281
261,2291
262,2297
263,2309
264,2310
265,2312
266,2313
267,2324
268,2331
269,2340
270,2345
271,2366
272,2375
273,2378
274,2399
275,2408
276,2430
277,2431
278,2447
279,2453
280,2467
281,2471
282,2486
283,2493
284,2514
285,2516
286,2522
287,2525
288,2530
289,2545
290,2546
291,2566
292,2577
293,2589
294,2590
295,2594
296,2596
297,2611
298,2615
299,2621
300,2641
301,2642
302,2643
303,2648
304,2651
305,2653
306,2672
307,2674
308,2679
309,2683
310,2690
311,2700
312,2708
313,2709
314,2723
315,2727
316,2746
317,2749
318,2752
319,2769
320,2770
321,2777
322,2781
323,2790
324,2857
325,2861
326,2876
327,2879
328,2885
329,2891
330,2893
331,2904
332,2909
333,2910
334,2919
335,2920
336,2922
337,2928
338,2937
339,2939
340,2962
341,2968
342,2993
343,3000
344,3005
345,3038
346,3043
347,3045
348,3058
349,3064
350,3068
351,3101
352,3115
353,3136
354,3141
355,3142
356,3156
357,3163
358,3167
359,3186
360,3218
361,3220
362,3225
363,3237
364,3242
365,3247
366,3266
367,3277
368,3291
369,3298
370,3305
371,3310
372,3314
373,3324
374,3345
375,3349
376,3355
377,3368
378,3373
379,3377
380,3378
381,3380
382,3403
383,3409
384,3429
385,3443
386,3466
387,3468
388,3469
389,3471
390,3475
391,3483
392,3496
393,3498
394,3527
395,3529
396,3536
397,3564
398,3569
399,3573
400,3583
401,3608
402,3620
403,3624
404,3625
405,3637
406,3646
407,3650
408,3654
409,3679
410,3705
411,3708
412,3711
413,3722
414,3729
415,3733
416,3737
417,3740
418,3760
419,3766
420,3773
421,3793
422,3809
423,3812
424,3824
425,3841
426,3849
427,3860
428,3872
429,3875
430,3901
431,3903
432,3905
433,3909
434,3923
435,3925
436,3927
437,3934
438,3960
439,3968
440,3979
441,3994
442,3998
443,4001
444,4020
445,4074
446,4094
447,4097
448,4115
449,4116
450,4145
451,4159
452,4164
453,4169
454,4174
455,4175
456,4184
457,4187
458,4192
459,4193
460,4215
461,4222
462,4229
463,4236
464,4240
465,4241
466,4246
467,4249
468,4250
469,4261
470,4262
471,4275
472,4285
473,4287
474,4319
475,4329
476,4335
477,4344
478,4353
479,4362
480,4369
481,4373
482,4386
483,4395
484,4412
485,4417
486,4418
487,4420
488,4437
489,4441
490,4454
491,4458
492,4466
493,4470
494,4473
495,4484
496,4488
497,4489
498,4495
499,4515
500,4518
501,4520
502,4524
503,4525
504,4534
505,4574
506,4579
507,4591
508,4598
509,4607
510,4608
511,4610
512,4624
513,4631
514,4633
515,4634
516,4635
517,4669
518,4680
519,4687
520,4715
521,4717
522,4720
523,4723
524,4727
525,4736
526,4751
527,4754
528,4755
529,4759
530,4762
531,4771
532,4779
533,4780
534,4783
535,4795
536,4799
537,4800
538,4803
539,4819
540,4831
541,4835
542,4838
543,4845
544,4853
545,4859
546,4891
547,4897
548,4910
549,4925
550,4934
551,4940
552,4960
553,4962
554,4968
555,4969
556,4970
557,4999
558,5003
559,5006
560,5014
561,5017
562,5039
563,5044
564,5077
565,5079
566,5082
567,5089
568,5091
569,5096
570,5099
571,5101
572,5113
573,5131
574,5135
575,5142
576,5148
577,5151
578,5152
579,5168
580,5171
581,5177
582,5193
583,5198
584,5204
585,5206
586,5211
587,5223
588,5227
589,5230
590,5234
591,5237
592,5241
593,5242
594,5244
595,5246
596,5247
597,5257
598,5274
599,5276
600,5284
601,5294
602,5308
603,5324
604,5345
605,5353
606,5369
607,5385
608,5393
609,5400
610,5410
611,5428
612,5434
613,5439
614,5455
615,5464
616,5468
617,5487
618,5518
619,5526
620,5530
621,5532
622,5548
623,5564
624,5573
625,5579
626,5581
627,5585
628,5590
629,5591
630,5592
631,5598
632,5612
633,5616
634,5621
635,5631
636,5644
637,5653
638,5670
639,5672
640,5686
641,5701
642,5713
643,5733
644,5735
645,5742
646,5762
647,5808
648,5809
649,5812
650,5819
651,5826
652,5836
653,5848
654,5882
655,5888
656,5904
657,5906
658,5911
659,5913
660,5921
661,5930
662,5946
663,5950
664,5963
665,5966
666,5978
667,6008
668,6011
669,6019
670,6029
671,6031
672,6032
673,6054
674,6063
675,6069
676,6083
677,6092
678,6103
679,6106
680,6108
681,6110
682,6134
683,6136
684,6137
685,6147
686,6150
687,6153
688,6154
689,6156
690,6158
691,6174
692,6179
693,6191
694,6198
695,6201
696,6220
697,6224
698,6225
699,6244
700,6252
701,6264
702,6266
703,6268
704,6276
705,6278
706,6292
707,6294
708,6298
709,6326
710,6327
711,6375
712,6377
713,6381
714,6387
715,6394
716,6401
717,6402
718,6415
719,6420
720,6436
721,6437
722,6444
723,6447
724,6453
725,6458
726,6467
727,6471
728,6473
729,6481
730,6494
731,6497
732,6511
733,6512
734,6522
735,6528
736,6533
737,6544
738,6554
739,6555
740,6594
741,6613
742,6615
743,6617
744,6619
745,6640
746,6645
747,6665
748,6682
749,6689
750,6699
751,6705
752,6715
753,6719
754,6723
755,6755
756,6757
757,6758
758,6760
759,6765
760,6783
761,6794
762,6802
763,6804
764,6811
765,6828
766,6847
767,6848
768,6859
769,6862
770,6884
771,6890
772,6893
773,6898
774,6919
775,6922
776,6923
777,6929
778,6943
779,6952
780,6992
781,7000
782,7008
783,7016
784,7054
785,7063
786,7074
787,7084
788,7088
789,7089
790,7094
791,7108
792,7109
793,7113
794,7131
795,7134
796,7147
797,7149
798,7166
799,7208
800,7210
801,7212
802,7213
803,7220
804,7255
805,7279
806,7285
807,7291
808,7321
809,7324
810,7334
811,7342
812,7376
813,7377
814,7380
815,7389
816,7415
817,7421
818,7425
819,7430
820,7436
821,7458
822,7464
823,7480
824,7484
825,7488
826,7492
827,7502
828,7503
829,7507
830,7511
831,7516
832,7525
833,7530
834,7551
835,7559
836,7560
837,7568
838,7569
839,7575
840,7579
841,7588
842,7591
843,7592
844,7606
845,7633
846,7648
847,7650
848,7656
849,7662
850,7667
851,7699
852,7712
853,7714
854,7726
855,7730
856,7742
857,7756
858,7759
859,7789
860,7790
861,7798
862,7799
863,7800
864,7813
865,7827
866,7830
867,7838
868,7841
869,7864
870,7866
871,7867
872,7868
873,7872
874,7922
875,7941
876,7956
877,7988
878,7990
879,8017
880,8028
881,8114
882,8118
